V1	V2	V3	V4	V5	V6
H1_Bulk_28_FD_scaffold_189_4	H1_Bulk_28_FD_scaffold_189_4	K02886	1148	1984	1
H1_Bulk_28_FD_scaffold_189_6	H1_Bulk_28_FD_scaffold_189_6	K02890	2339	2707	1
H1_Bulk_28_FD_scaffold_19_8	H1_Bulk_28_FD_scaffold_19_8	K02881	4746	5444	-1
H1_Bulk_28_FD_scaffold_20_6	H1_Bulk_28_FD_scaffold_20_6	K02982	1424	2152	-1
H1_Bulk_28_FD_scaffold_2191_1	H1_Bulk_28_FD_scaffold_2191_1	K02881	77	445	-1
H1_Bulk_28_FD_scaffold_2191_2	H1_Bulk_28_FD_scaffold_2191_2	K02933	457	990	-1
H1_Bulk_28_FD_scaffold_2191_3	H1_Bulk_28_FD_scaffold_2191_3	K02994	1015	1410	-1
H1_Bulk_28_FD_scaffold_2235_1	H1_Bulk_28_FD_scaffold_2235_1	K02931	2	505	1
H1_Bulk_28_FD_scaffold_2399_2	H1_Bulk_28_FD_scaffold_2399_2	K02933	195	728	-1
H1_Bulk_28_FD_scaffold_2399_3	H1_Bulk_28_FD_scaffold_2399_3	K02994	745	1140	-1
H1_Bulk_28_FD_scaffold_2651_3	H1_Bulk_28_FD_scaffold_2651_3	K02961	507	779	1
H1_Bulk_28_FD_scaffold_2685_2	H1_Bulk_28_FD_scaffold_2685_2	K02961	415	699	-1
H1_Bulk_28_FD_scaffold_272_2	H1_Bulk_28_FD_scaffold_272_2	K02881	672	1244	1
H1_Bulk_28_FD_scaffold_3180_3	H1_Bulk_28_FD_scaffold_3180_3	K02876	615	1109	1
H1_Bulk_28_FD_scaffold_3197_2	H1_Bulk_28_FD_scaffold_3197_2	K02994	450	842	1
H1_Bulk_28_FD_scaffold_3239_1	H1_Bulk_28_FD_scaffold_3239_1	K02906	1	411	1
H1_Bulk_28_FD_scaffold_3239_2	H1_Bulk_28_FD_scaffold_3239_2	K02926	411	1031	1
H1_Bulk_28_FD_scaffold_331_1	H1_Bulk_28_FD_scaffold_331_1	K02886	67	744	-1
H1_Bulk_28_FD_scaffold_331_3	H1_Bulk_28_FD_scaffold_331_3	K02926	1077	1697	-1
H1_Bulk_28_FD_scaffold_337_1	H1_Bulk_28_FD_scaffold_337_1	K02874	224	592	1
H1_Bulk_28_FD_scaffold_337_2	H1_Bulk_28_FD_scaffold_337_2	K02895	596	955	1
H1_Bulk_28_FD_scaffold_337_3	H1_Bulk_28_FD_scaffold_337_3	K02931	955	1536	1
H1_Bulk_28_FD_scaffold_337_4	H1_Bulk_28_FD_scaffold_337_4	K02994	1633	2031	1
H1_Bulk_28_FD_scaffold_339_3	H1_Bulk_28_FD_scaffold_339_3	K02931	950	1474	1
H1_Bulk_28_FD_scaffold_3501_1	H1_Bulk_28_FD_scaffold_3501_1	K00266	1	1104	-1
H1_Bulk_28_FD_scaffold_3684_1	H1_Bulk_28_FD_scaffold_3684_1	K10946	180	1019	-1
H1_Bulk_28_FD_scaffold_3691_1	H1_Bulk_28_FD_scaffold_3691_1	K02946	225	533	1
H1_Bulk_28_FD_scaffold_3800_1	H1_Bulk_28_FD_scaffold_3800_1	K02931	2	307	-1
H1_Bulk_28_FD_scaffold_3800_2	H1_Bulk_28_FD_scaffold_3800_2	K02895	319	636	-1
H1_Bulk_28_FD_scaffold_3800_3	H1_Bulk_28_FD_scaffold_3800_3	K02874	650	1018	-1
H1_Bulk_28_FD_scaffold_3862_2	H1_Bulk_28_FD_scaffold_3862_2	K02946	587	895	-1
H1_Bulk_28_FD_scaffold_3892_3	H1_Bulk_28_FD_scaffold_3892_3	K02961	430	744	1
H1_Bulk_28_FD_scaffold_3892_4	H1_Bulk_28_FD_scaffold_3892_4	K02874	859	1179	1
H1_Bulk_28_FD_scaffold_398_4	H1_Bulk_28_FD_scaffold_398_4	K02881	843	1205	-1
H1_Bulk_28_FD_scaffold_398_5	H1_Bulk_28_FD_scaffold_398_5	K02933	1218	1754	-1
H1_Bulk_28_FD_scaffold_398_6	H1_Bulk_28_FD_scaffold_398_6	K02994	1765	2160	-1
H1_Bulk_28_FD_scaffold_4052_1	H1_Bulk_28_FD_scaffold_4052_1	K00368	1	1095	1
H1_Bulk_28_FD_scaffold_4156_1	H1_Bulk_28_FD_scaffold_4156_1	K02931	1	378	-1
H1_Bulk_28_FD_scaffold_4241_2	H1_Bulk_28_FD_scaffold_4241_2	K02961	293	559	-1
H1_Bulk_28_FD_scaffold_451_2	H1_Bulk_28_FD_scaffold_451_2	K02982	543	1262	1
H1_Bulk_28_FD_scaffold_4574_1	H1_Bulk_28_FD_scaffold_4574_1	K00370	1	1116	1
H1_Bulk_28_FD_scaffold_4588_1	H1_Bulk_28_FD_scaffold_4588_1	K02886	1	552	-1
H1_Bulk_28_FD_scaffold_5009_2	H1_Bulk_28_FD_scaffold_5009_2	K02933	105	638	1
H1_Bulk_28_FD_scaffold_5009_3	H1_Bulk_28_FD_scaffold_5009_3	K02881	650	1018	1
H1_Bulk_28_FD_scaffold_5152_4	H1_Bulk_28_FD_scaffold_5152_4	K02982	674	1075	-1
H1_Bulk_28_FD_scaffold_5159_1	H1_Bulk_28_FD_scaffold_5159_1	K02874	55	423	1
H1_Bulk_28_FD_scaffold_5159_2	H1_Bulk_28_FD_scaffold_5159_2	K02895	425	790	1
H1_Bulk_28_FD_scaffold_5178_2	H1_Bulk_28_FD_scaffold_5178_2	K02881	202	576	-1
H1_Bulk_28_FD_scaffold_5178_3	H1_Bulk_28_FD_scaffold_5178_3	K02933	669	1073	-1
H1_Bulk_28_FD_scaffold_5345_1	H1_Bulk_28_FD_scaffold_5345_1	K02946	3	230	-1
H1_Bulk_28_FD_scaffold_5472_1	H1_Bulk_28_FD_scaffold_5472_1	K02906	203	1081	1
H1_Bulk_28_FD_scaffold_5497_1	H1_Bulk_28_FD_scaffold_5497_1	K00368	1	1047	1
H1_Bulk_28_FD_scaffold_5563_1	H1_Bulk_28_FD_scaffold_5563_1	K02895	40	435	-1
H1_Bulk_28_FD_scaffold_5590_1	H1_Bulk_28_FD_scaffold_5590_1	K02931	59	598	-1
H1_Bulk_28_FD_scaffold_5838_1	H1_Bulk_28_FD_scaffold_5838_1	K02886	2	619	-1
H1_Bulk_28_FD_scaffold_588_4	H1_Bulk_28_FD_scaffold_588_4	K02982	1054	1881	-1
H1_Bulk_28_FD_scaffold_6078_1	H1_Bulk_28_FD_scaffold_6078_1	K02933	1	270	1
H1_Bulk_28_FD_scaffold_6078_2	H1_Bulk_28_FD_scaffold_6078_2	K02881	294	662	1
H1_Bulk_28_FD_scaffold_6081_1	H1_Bulk_28_FD_scaffold_6081_1	K02994	24	434	-1
H1_Bulk_28_FD_scaffold_6_1	H1_Bulk_28_FD_scaffold_6_1	K00374	171	860	-1
H1_Bulk_28_FD_scaffold_6124_1	H1_Bulk_28_FD_scaffold_6124_1	K02874	89	457	1
H1_Bulk_28_FD_scaffold_6124_2	H1_Bulk_28_FD_scaffold_6124_2	K02895	460	807	1
H1_Bulk_28_FD_scaffold_6_3	H1_Bulk_28_FD_scaffold_6_3	K00371	2075	3616	-1
H1_Bulk_28_FD_scaffold_6_5	H1_Bulk_28_FD_scaffold_6_5	K00370	4364	8008	-1
H1_Bulk_28_FD_scaffold_743_3	H1_Bulk_28_FD_scaffold_743_3	K02961	535	876	1
H1_Bulk_28_FD_scaffold_743_4	H1_Bulk_28_FD_scaffold_743_4	K02874	880	1248	1
H1_Bulk_28_FD_scaffold_743_5	H1_Bulk_28_FD_scaffold_743_5	K02895	1248	1583	1
H1_Bulk_28_FD_scaffold_743_6	H1_Bulk_28_FD_scaffold_743_6	K02931	1587	2060	1
H1_Bulk_28_FD_scaffold_762_2	H1_Bulk_28_FD_scaffold_762_2	K02876	870	1301	-1
H1_Bulk_28_FD_scaffold_915_2	H1_Bulk_28_FD_scaffold_915_2	K02926	363	983	1
H1_Bulk_28_FD_scaffold_931_2	H1_Bulk_28_FD_scaffold_931_2	K02965	189	470	-1
H1_Bulk_28_FD_scaffold_931_3	H1_Bulk_28_FD_scaffold_931_3	K02886	486	1322	-1
H1_Bulk_29_scaffold_10173_3	H1_Bulk_29_scaffold_10173_3	K02926	462	1169	-1
H1_Bulk_29_scaffold_10325_2	H1_Bulk_29_scaffold_10325_2	K02965	198	485	1
H1_Bulk_29_scaffold_10325_3	H1_Bulk_29_scaffold_10325_3	K02890	511	867	1
H1_Bulk_29_scaffold_10325_4	H1_Bulk_29_scaffold_10325_4	K02982	877	1611	1
H1_Bulk_29_scaffold_10409_2	H1_Bulk_29_scaffold_10409_2	K02946	758	1063	1
H1_Bulk_29_scaffold_10409_3	H1_Bulk_29_scaffold_10409_3	K02926	1075	1386	1
H1_Bulk_29_scaffold_10510_2	H1_Bulk_29_scaffold_10510_2	K02926	397	1017	1
H1_Bulk_29_scaffold_10529_1	H1_Bulk_29_scaffold_10529_1	K02931	2	511	1
H1_Bulk_29_scaffold_10529_3	H1_Bulk_29_scaffold_10529_3	K02994	839	1234	1
H1_Bulk_29_scaffold_10535_2	H1_Bulk_29_scaffold_10535_2	K02906	276	995	1
H1_Bulk_29_scaffold_10535_3	H1_Bulk_29_scaffold_10535_3	K02926	997	1380	1
H1_Bulk_29_scaffold_10591_4	H1_Bulk_29_scaffold_10591_4	K02931	837	1379	-1
H1_Bulk_29_scaffold_1072_2	H1_Bulk_29_scaffold_1072_2	K02890	218	547	1
H1_Bulk_29_scaffold_1072_7	H1_Bulk_29_scaffold_1072_7	K02874	2511	2897	1
H1_Bulk_29_scaffold_10845_2	H1_Bulk_29_scaffold_10845_2	K02886	214	1038	1
H1_Bulk_29_scaffold_10845_3	H1_Bulk_29_scaffold_10845_3	K02965	1049	1327	1
H1_Bulk_29_scaffold_10884_1	H1_Bulk_29_scaffold_10884_1	K02982	24	668	-1
H1_Bulk_29_scaffold_10884_2	H1_Bulk_29_scaffold_10884_2	K02890	674	1021	-1
H1_Bulk_29_scaffold_10884_3	H1_Bulk_29_scaffold_10884_3	K02965	1031	1309	-1
H1_Bulk_29_scaffold_10918_3	H1_Bulk_29_scaffold_10918_3	K02961	528	800	1
H1_Bulk_29_scaffold_10918_4	H1_Bulk_29_scaffold_10918_4	K02874	797	1174	1
H1_Bulk_29_scaffold_10924_3	H1_Bulk_29_scaffold_10924_3	K02994	687	1085	1
H1_Bulk_29_scaffold_10996_2	H1_Bulk_29_scaffold_10996_2	K02946	600	974	1
H1_Bulk_29_scaffold_11373_1	H1_Bulk_29_scaffold_11373_1	K02994	31	432	1
H1_Bulk_29_scaffold_11373_2	H1_Bulk_29_scaffold_11373_2	K02933	437	979	1
H1_Bulk_29_scaffold_11373_3	H1_Bulk_29_scaffold_11373_3	K02881	984	1346	1
H1_Bulk_29_scaffold_1149_2	H1_Bulk_29_scaffold_1149_2	K02926	791	1411	1
H1_Bulk_29_scaffold_1154_1	H1_Bulk_29_scaffold_1154_1	K02946	269	577	1
H1_Bulk_29_scaffold_1154_2	H1_Bulk_29_scaffold_1154_2	K02906	592	1257	1
H1_Bulk_29_scaffold_11600_2	H1_Bulk_29_scaffold_11600_2	K02926	624	1334	1
H1_Bulk_29_scaffold_11675_2	H1_Bulk_29_scaffold_11675_2	K02881	471	833	-1
H1_Bulk_29_scaffold_11871_3	H1_Bulk_29_scaffold_11871_3	K02946	1314	1526	-1
H1_Bulk_29_scaffold_1188_3	H1_Bulk_29_scaffold_1188_3	K02961	739	993	1
H1_Bulk_29_scaffold_1188_4	H1_Bulk_29_scaffold_1188_4	K02874	1045	1413	1
H1_Bulk_29_scaffold_1188_5	H1_Bulk_29_scaffold_1188_5	K02895	1413	1745	1
H1_Bulk_29_scaffold_1188_6	H1_Bulk_29_scaffold_1188_6	K02931	1742	2287	1
H1_Bulk_29_scaffold_12259_2	H1_Bulk_29_scaffold_12259_2	K02961	182	445	-1
H1_Bulk_29_scaffold_12393_3	H1_Bulk_29_scaffold_12393_3	K02961	730	1080	1
H1_Bulk_29_scaffold_12425_1	H1_Bulk_29_scaffold_12425_1	K02881	110	814	1
H1_Bulk_29_scaffold_12586_2	H1_Bulk_29_scaffold_12586_2	K02906	298	975	-1
H1_Bulk_29_scaffold_1261_2	H1_Bulk_29_scaffold_1261_2	K02931	296	868	-1
H1_Bulk_29_scaffold_1261_3	H1_Bulk_29_scaffold_1261_3	K02895	868	1254	-1
H1_Bulk_29_scaffold_1261_4	H1_Bulk_29_scaffold_1261_4	K02874	1256	1624	-1
H1_Bulk_29_scaffold_1261_5	H1_Bulk_29_scaffold_1261_5	K02961	1715	2011	-1
H1_Bulk_29_scaffold_12639_2	H1_Bulk_29_scaffold_12639_2	K02906	643	1293	1
H1_Bulk_29_scaffold_12760_1	H1_Bulk_29_scaffold_12760_1	K02874	3	389	1
H1_Bulk_29_scaffold_12760_2	H1_Bulk_29_scaffold_12760_2	K02895	493	825	1
H1_Bulk_29_scaffold_12760_3	H1_Bulk_29_scaffold_12760_3	K02931	822	1295	1
H1_Bulk_29_scaffold_12946_3	H1_Bulk_29_scaffold_12946_3	K02890	437	838	1
H1_Bulk_29_scaffold_1307_1	H1_Bulk_29_scaffold_1307_1	K02946	274	582	1
H1_Bulk_29_scaffold_1307_2	H1_Bulk_29_scaffold_1307_2	K02906	599	1255	1
H1_Bulk_29_scaffold_1307_3	H1_Bulk_29_scaffold_1307_3	K02926	1252	1962	1
H1_Bulk_29_scaffold_1308_3	H1_Bulk_29_scaffold_1308_3	K05916	1445	2671	-1
H1_Bulk_29_scaffold_13143_2	H1_Bulk_29_scaffold_13143_2	K02895	224	640	-1
H1_Bulk_29_scaffold_13160_2	H1_Bulk_29_scaffold_13160_2	K02926	240	887	1
H1_Bulk_29_scaffold_13193_1	H1_Bulk_29_scaffold_13193_1	K02933	1	354	1
H1_Bulk_29_scaffold_13193_2	H1_Bulk_29_scaffold_13193_2	K02881	396	752	1
H1_Bulk_29_scaffold_13224_2	H1_Bulk_29_scaffold_13224_2	K02946	1071	1292	1
H1_Bulk_29_scaffold_13224_3	H1_Bulk_29_scaffold_13224_3	K02906	1289	1609	1
H1_Bulk_29_scaffold_13276_2	H1_Bulk_29_scaffold_13276_2	K02994	321	713	-1
H1_Bulk_29_scaffold_13276_3	H1_Bulk_29_scaffold_13276_3	K02931	926	1282	-1
H1_Bulk_29_scaffold_1349_2	H1_Bulk_29_scaffold_1349_2	K02906	547	1221	1
H1_Bulk_29_scaffold_1349_3	H1_Bulk_29_scaffold_1349_3	K02926	1218	2012	1
H1_Bulk_29_scaffold_1349_6	H1_Bulk_29_scaffold_1349_6	K02965	3149	3430	1
H1_Bulk_29_scaffold_1349_7	H1_Bulk_29_scaffold_1349_7	K02890	3464	3880	1
H1_Bulk_29_scaffold_13619_1	H1_Bulk_29_scaffold_13619_1	K02982	1	453	-1
H1_Bulk_29_scaffold_13619_2	H1_Bulk_29_scaffold_13619_2	K02890	453	920	-1
H1_Bulk_29_scaffold_13619_3	H1_Bulk_29_scaffold_13619_3	K02965	952	1233	-1
H1_Bulk_29_scaffold_13834_1	H1_Bulk_29_scaffold_13834_1	K02906	2	496	1
H1_Bulk_29_scaffold_13834_2	H1_Bulk_29_scaffold_13834_2	K02926	501	1160	1
H1_Bulk_29_scaffold_13839_2	H1_Bulk_29_scaffold_13839_2	K02895	88	408	1
H1_Bulk_29_scaffold_13839_3	H1_Bulk_29_scaffold_13839_3	K02931	413	1135	1
H1_Bulk_29_scaffold_13849_3	H1_Bulk_29_scaffold_13849_3	K02994	609	1004	1
H1_Bulk_29_scaffold_13855_2	H1_Bulk_29_scaffold_13855_2	K02982	189	836	1
H1_Bulk_29_scaffold_13900_1	H1_Bulk_29_scaffold_13900_1	K02895	56	412	1
H1_Bulk_29_scaffold_13900_2	H1_Bulk_29_scaffold_13900_2	K02931	529	1098	1
H1_Bulk_29_scaffold_13963_2	H1_Bulk_29_scaffold_13963_2	K02890	206	550	-1
H1_Bulk_29_scaffold_13963_3	H1_Bulk_29_scaffold_13963_3	K02965	630	914	-1
H1_Bulk_29_scaffold_14062_1	H1_Bulk_29_scaffold_14062_1	K00368	172	1194	1
H1_Bulk_29_scaffold_14124_1	H1_Bulk_29_scaffold_14124_1	K00368	1	1254	1
H1_Bulk_29_scaffold_14147_2	H1_Bulk_29_scaffold_14147_2	K02961	344	643	-1
H1_Bulk_29_scaffold_14176_3	H1_Bulk_29_scaffold_14176_3	K02946	1090	1299	-1
H1_Bulk_29_scaffold_14247_3	H1_Bulk_29_scaffold_14247_3	K02926	772	1197	-1
H1_Bulk_29_scaffold_14248_1	H1_Bulk_29_scaffold_14248_1	nxrB_alignment	2	1237	1
H1_Bulk_29_scaffold_14319_1	H1_Bulk_29_scaffold_14319_1	K02881	31	396	-1
H1_Bulk_29_scaffold_14319_2	H1_Bulk_29_scaffold_14319_2	K02933	409	939	-1
H1_Bulk_29_scaffold_14392_1	H1_Bulk_29_scaffold_14392_1	K02982	2	574	1
H1_Bulk_29_scaffold_14459_4	H1_Bulk_29_scaffold_14459_4	K02982	858	1244	-1
H1_Bulk_29_scaffold_14580_3	H1_Bulk_29_scaffold_14580_3	K02931	448	996	-1
H1_Bulk_29_scaffold_14781_1	H1_Bulk_29_scaffold_14781_1	K10945	2	1192	1
H1_Bulk_29_scaffold_14794_2	H1_Bulk_29_scaffold_14794_2	K02933	215	766	1
H1_Bulk_29_scaffold_14794_3	H1_Bulk_29_scaffold_14794_3	K02881	839	1219	1
H1_Bulk_29_scaffold_14832_1	H1_Bulk_29_scaffold_14832_1	K02965	2	325	-1
H1_Bulk_29_scaffold_14832_2	H1_Bulk_29_scaffold_14832_2	K02886	417	1232	-1
H1_Bulk_29_scaffold_1487_2	H1_Bulk_29_scaffold_1487_2	K02876	546	983	-1
H1_Bulk_29_scaffold_1487_5	H1_Bulk_29_scaffold_1487_5	K02881	1743	2126	-1
H1_Bulk_29_scaffold_1487_6	H1_Bulk_29_scaffold_1487_6	K02933	2143	2568	-1
H1_Bulk_29_scaffold_14980_1	H1_Bulk_29_scaffold_14980_1	K02906	1	696	1
H1_Bulk_29_scaffold_15045_2	H1_Bulk_29_scaffold_15045_2	K02926	171	809	-1
H1_Bulk_29_scaffold_15045_3	H1_Bulk_29_scaffold_15045_3	K02946	819	1127	-1
H1_Bulk_29_scaffold_15122_1	H1_Bulk_29_scaffold_15122_1	K03553	3	614	1
H1_Bulk_29_scaffold_15170_2	H1_Bulk_29_scaffold_15170_2	K02961	118	414	1
H1_Bulk_29_scaffold_15170_3	H1_Bulk_29_scaffold_15170_3	K02874	608	976	1
H1_Bulk_29_scaffold_15216_3	H1_Bulk_29_scaffold_15216_3	K02876	444	875	1
H1_Bulk_29_scaffold_15275_3	H1_Bulk_29_scaffold_15275_3	K02965	829	1107	-1
H1_Bulk_29_scaffold_15315_1	H1_Bulk_29_scaffold_15315_1	K02982	3	446	1
H1_Bulk_29_scaffold_15530_1	H1_Bulk_29_scaffold_15530_1	K00370	2	1027	1
H1_Bulk_29_scaffold_15642_1	H1_Bulk_29_scaffold_15642_1	K02994	18	422	-1
H1_Bulk_29_scaffold_15642_3	H1_Bulk_29_scaffold_15642_3	K02931	618	1352	-1
H1_Bulk_29_scaffold_157_2	H1_Bulk_29_scaffold_157_2	K00265	1293	4415	-1
H1_Bulk_29_scaffold_15804_1	H1_Bulk_29_scaffold_15804_1	K03553	42	1118	-1
H1_Bulk_29_scaffold_15882_2	H1_Bulk_29_scaffold_15882_2	K02965	503	784	1
H1_Bulk_29_scaffold_15882_3	H1_Bulk_29_scaffold_15882_3	K02890	818	1204	1
H1_Bulk_29_scaffold_15963_2	H1_Bulk_29_scaffold_15963_2	K02906	188	868	-1
H1_Bulk_29_scaffold_15963_3	H1_Bulk_29_scaffold_15963_3	K02946	880	1188	-1
H1_Bulk_29_scaffold_15998_1	H1_Bulk_29_scaffold_15998_1	K03553	70	1113	1
H1_Bulk_29_scaffold_16093_1	H1_Bulk_29_scaffold_16093_1	K02876	27	482	-1
H1_Bulk_29_scaffold_16119_1	H1_Bulk_29_scaffold_16119_1	K02876	1	333	-1
H1_Bulk_29_scaffold_16190_2	H1_Bulk_29_scaffold_16190_2	K02946	837	1160	1
H1_Bulk_29_scaffold_16205_1	H1_Bulk_29_scaffold_16205_1	K03553	46	1101	-1
H1_Bulk_29_scaffold_1635_3	H1_Bulk_29_scaffold_1635_3	K02881	789	1157	1
H1_Bulk_29_scaffold_1635_6	H1_Bulk_29_scaffold_1635_6	K02876	1920	2351	1
H1_Bulk_29_scaffold_16361_2	H1_Bulk_29_scaffold_16361_2	K02906	331	999	1
H1_Bulk_29_scaffold_1650_1	H1_Bulk_29_scaffold_1650_1	K02994	80	475	1
H1_Bulk_29_scaffold_1650_2	H1_Bulk_29_scaffold_1650_2	K02933	486	1013	1
H1_Bulk_29_scaffold_1650_3	H1_Bulk_29_scaffold_1650_3	K02881	1044	1394	1
H1_Bulk_29_scaffold_1650_6	H1_Bulk_29_scaffold_1650_6	K02876	2236	2493	1
H1_Bulk_29_scaffold_1661_2	H1_Bulk_29_scaffold_1661_2	nxrA_alignment	848	2488	-1
H1_Bulk_29_scaffold_16641_2	H1_Bulk_29_scaffold_16641_2	K02931	378	917	-1
H1_Bulk_29_scaffold_16719_2	H1_Bulk_29_scaffold_16719_2	K02946	863	1183	1
H1_Bulk_29_scaffold_16736_2	H1_Bulk_29_scaffold_16736_2	K03553	311	1183	1
H1_Bulk_29_scaffold_16743_2	H1_Bulk_29_scaffold_16743_2	K02890	785	1117	-1
H1_Bulk_29_scaffold_1684_5	H1_Bulk_29_scaffold_1684_5	K02890	1717	2082	-1
H1_Bulk_29_scaffold_1684_6	H1_Bulk_29_scaffold_1684_6	K02965	2121	2402	-1
H1_Bulk_29_scaffold_1684_7	H1_Bulk_29_scaffold_1684_7	K02886	2387	3196	-1
H1_Bulk_29_scaffold_16877_1	H1_Bulk_29_scaffold_16877_1	K02874	154	522	1
H1_Bulk_29_scaffold_16897_3	H1_Bulk_29_scaffold_16897_3	K02961	368	691	1
H1_Bulk_29_scaffold_16897_4	H1_Bulk_29_scaffold_16897_4	K02874	779	1147	1
H1_Bulk_29_scaffold_17039_1	H1_Bulk_29_scaffold_17039_1	K02874	94	462	1
H1_Bulk_29_scaffold_17039_2	H1_Bulk_29_scaffold_17039_2	K02895	462	776	1
H1_Bulk_29_scaffold_17249_2	H1_Bulk_29_scaffold_17249_2	K02881	286	681	-1
H1_Bulk_29_scaffold_1725_3	H1_Bulk_29_scaffold_1725_3	K02946	1529	1837	1
H1_Bulk_29_scaffold_1725_4	H1_Bulk_29_scaffold_1725_4	K02926	1841	2461	1
H1_Bulk_29_scaffold_17343_2	H1_Bulk_29_scaffold_17343_2	K02926	293	886	-1
H1_Bulk_29_scaffold_17343_3	H1_Bulk_29_scaffold_17343_3	K02906	886	1566	-1
H1_Bulk_29_scaffold_17349_2	H1_Bulk_29_scaffold_17349_2	K02881	278	640	-1
H1_Bulk_29_scaffold_17357_1	H1_Bulk_29_scaffold_17357_1	K02931	3	425	-1
H1_Bulk_29_scaffold_17357_2	H1_Bulk_29_scaffold_17357_2	K02895	436	765	-1
H1_Bulk_29_scaffold_17357_3	H1_Bulk_29_scaffold_17357_3	K02874	769	1167	-1
H1_Bulk_29_scaffold_17532_2	H1_Bulk_29_scaffold_17532_2	K02906	176	826	1
H1_Bulk_29_scaffold_17532_3	H1_Bulk_29_scaffold_17532_3	K02926	831	1166	1
H1_Bulk_29_scaffold_17612_1	H1_Bulk_29_scaffold_17612_1	nxrA_alignment	3	1163	1
H1_Bulk_29_scaffold_17738_2	H1_Bulk_29_scaffold_17738_2	K02946	627	935	1
H1_Bulk_29_scaffold_1781_3	H1_Bulk_29_scaffold_1781_3	K02961	610	897	1
H1_Bulk_29_scaffold_1781_4	H1_Bulk_29_scaffold_1781_4	K02874	1024	1392	1
H1_Bulk_29_scaffold_1781_5	H1_Bulk_29_scaffold_1781_5	K02895	1395	1718	1
H1_Bulk_29_scaffold_1781_6	H1_Bulk_29_scaffold_1781_6	K02931	1718	2275	1
H1_Bulk_29_scaffold_1804_1	H1_Bulk_29_scaffold_1804_1	K02874	1	486	1
H1_Bulk_29_scaffold_1804_2	H1_Bulk_29_scaffold_1804_2	K02895	487	804	1
H1_Bulk_29_scaffold_1804_3	H1_Bulk_29_scaffold_1804_3	K02931	807	1379	1
H1_Bulk_29_scaffold_1804_5	H1_Bulk_29_scaffold_1804_5	K02994	1691	2089	1
H1_Bulk_29_scaffold_1804_6	H1_Bulk_29_scaffold_1804_6	K02933	2100	2426	1
H1_Bulk_29_scaffold_18090_2	H1_Bulk_29_scaffold_18090_2	K02890	232	627	-1
H1_Bulk_29_scaffold_18090_3	H1_Bulk_29_scaffold_18090_3	K02965	627	908	-1
H1_Bulk_29_scaffold_18090_4	H1_Bulk_29_scaffold_18090_4	K02886	924	1418	-1
H1_Bulk_29_scaffold_18263_1	H1_Bulk_29_scaffold_18263_1	K02946	2	250	1
H1_Bulk_29_scaffold_18263_2	H1_Bulk_29_scaffold_18263_2	K02926	308	961	1
H1_Bulk_29_scaffold_18379_3	H1_Bulk_29_scaffold_18379_3	K02961	538	792	1
